abdome 	parte do corpo situada entre o tórax e a pelve; barriga
afasia 	perda parcial ou total da capacidade de expressar ou compreender a linguagem falada ou escrita
afebril 	sem febre
afonia 	perda total ou parcial da voz
afônico 	condição de estar sem voz
agente colinérgico 	composto que imita a ação da acetilcolina (*Ver acetilcolina no glossário)
agente neuroprotetor 	medicamentos/substâncias que têm a finalidade de proteger os neurônios
agente patogênico 	organismo capaz de produzir doenças infecciosas aos seus hospedeiros sempre que esteja em circunstâncias favoráveis, podem ser bactérias, vírus, fungos, entre outros, o mesmo que patógeno
ageusia 	falta ou diminuição do paladar
agnosia 	incapacidade ou dificuldade de reconhecer objetos por lesão no córtex cerebral correspondente àquela função
agnosia auditivo 	incapacidade ou dificuldade de identificar objetos por meio do som
agnosia gustativo 	incapacidade ou dififculdade para identificar alimentos pelo paladar
agnosia olfativa 	incapacidade ou dificuldade para identificar cheiros
agnosia tátil 	incapacidade ou dififculdade para identificar objetos pelo toque
agnosia visual 	incapacidade ou dificuldade para reconhecer objetos e pessoas pela visão 
agonista de o dopamina 	substância (medicamento) que ativa os receptores de dopamina, produzindo os mesmos efeitos da dopamina no corpo
agrotóxico 	agrotóxicos
ait 	ataque isquêmico transitório: deficiência repentina do suprimento de sangue para o cérebro por um curto espaço de tempo
alcalinidade 	capacidade que um sistema aquoso tem para neutralizar ácidos
alcoolismo 	doença crônica caracterizada pelo consumo compulsivo de álcool, condicionado pela dependência
alelo 	o alelo é uma variação específica do gene, que vai determinar como essa característica irá se expressar no indivíduo. Por exemplo, o gene da cor dos olhos possui muitos alelos, como alelos para a cor dos olhos azuis, castanhos ou verdes.
alexia 	perda da capacidade de identficar a linguagem escrita
alfa sinucleina 	proteína que mais se acumula no cérebro da pessoa com DP, destruindo células importantes
alimento protéico 	alimentos ricos em proteína
alopecia 	perda de cabelo
alta hospitalar 	documento emitido por um hospital que consta que o paciente pode retornar para a sua casa
alterações bioquímica 	alterações químicas do corpo
alucinações 	percepção de ter visto, ouvido, tocado, provado ou cheirado algo que não existe
alzheimer 	doença degenerativa e progressiva que se manifesta apresentando deterioração cognitiva e da memória de curto prazo e uma variedade de sintomas neuropsiquiátricos e de alterações comportamentais que se agravam ao longo do tempo
amantadina 	medicamento que libera dopamina no interior do cérebro utilizado para tratar a lentidão e a rigidez dos músculos
amaurose 	cegueira total
ambliopia 	baixa visão em um ou nos dois olhos que não é corrigida com óculos; também chamado de olho preguiçoso
amígdala 	localizada no lobo temporal (*Ver lobo temporal no glossário), faz parte do chamado cérebro profundo, parte do cérebro responsável pelas emoções básicas e o instinto de sobrevivência, além das nossas lembranças emocionais
amimia 	perda da capacidade de fazer gestos ou sinais para representar ideias e sentimentos
aminar 	moléculas orgânicas fundamentais na formação de proteínas; existem dezenas de tipos de aminoácidos, alguns são produzidos pelo nosso corpo e outros podem ser ingeridos pela alimentação; os aminoácidos são importantes na regeneração celular (ex.: pele), muscular, entre outras funções
amnésia 	perda total ou parcial da memória, incapacidade de lembrar eventos, perda permanente ou temporária da memória
ams 	Atrofia Multissistêmica (*Ver Atrofia Multissistêmica no glossário)
amusia 	dificuldade para compreender sons musicais por lesão do córtex cerebral correspondente àquela função.
anabólico 	relativo ao anabolismo (*Ver anabolismo no glossário)
anabolismo 	fase do metabolismo em que acontece a sintetização das moléculas, o que resulta na formação de moléculas mais complexas a partir de outras mais simples
analgesia 	técnica que utiliza medicamentos com o objetivo de aliviar ou minimizar a dor, sem que o paciente fique inconsciente
anamnese 	entrevista realizada pelo profissional de saúde com o paciente com o objetivo de ser um ponto inicial no diagnóstico de uma doença
anatomia 	descrição dos elementos que constituem o corpo
anatomopatologia 	especialidade médica que estuda o diagnóstico das doenças baseado nos aspectos dos tecidos dos órgãos e das células 
ancilose 	rigidez em uma articulação
anemia 	condição na qual o conteúdo da hemoglobina (*Ver hemoglobina no glossário) no sangue está abaixo do normal, podendo causar fadiga, palidez, falta de ar, vertigem, tonturas ou batimento cardíaco acelerado
anemia falciforme 	doença hereditária caracterizada pela alteração dos glóbulos vermelhos do sangue, tornando-os parecidos com uma foice, daí o nome falciforme. Essas células têm sua membrana alterada e rompem-se mais facilmente, causando anemia
anestesia 	técnica utilizada em procedimentos cirúrgicos e outros procedimentos na qual o médico aplica um anestésico para que o paciente não sinta dor; dependendo do tipo de anestesia o paciente pode ficar consciente ou inconsciente
anestesia geral 	técnica utilizada em procedimentos cirúrgicos na qual o médico aplica anestésicos e o paciente fica inconsciente e não sente dor
anestesia local 	são aplicadas pequenas doses de anestésico apenas no local da lesão ou da intervenção
anestesia peridural 	tipo de anestesia que bloqueia a dor e as sensações de apenas uma região do corpo, geralmente da cintura para baixo; neste tipo de anestesia a pessoa pode se manter acordada
anestesia raquidiano 	tipo de anestesia que bloqueia a dor e as sensações de apenas uma região do corpo, geralmente da cintura para baixo; neste tipo de anestesia a pessoa pode se manter acordada
anestésico 	medicamento que reduz ou tira a sensibilidade, minimizando a dor
anestesiologia 	especialidade médica que estuda e proporciona ausência ou alívio da dor e outras sensações ao paciente que necessita realizar procedimentos médicos, como cirurgias ou exames diagnósticos, identificando e tratando eventuais alterações das funções vitais
anestesiologista 	médico que administra um anestésico; médico especializado em anestesia e que monitora as funções vitais do paciente durante um procedimento cirúrgico ou de diagnóstico
anestesista 	médico que administra um anestésico; médico especializado em anestesia e que monitora as funções vitais do paciente durante um procedimento cirúrgico ou de diagnóstico
aneurisma 	dilatação anormal da parede de uma artéria, que pode acabar se rompendo e provocando uma hemorragia ou um AVC
aneurisma cerebral 	dilatação anormal num dos vasos sanguíneos que levam sangue até ao cérebro
aneurisma de o aorta 	dilatação anormal de alguma parte da aorta, a maior artéria do corpo
anfetamina 	droga sintética que estimula a atividade do sistema nervoso central, podendo provocar excitação, insônia e falta de apetite 
angina 	tipo de dor no peito causada pela redução do fluxo sanguíneo para o coração
anomalia 	aquilo que não é normal
anomalia congênita 	alterações estruturais ou funcionais do desenvolvimento fetal, cuja origem ocorre antes do nascimento
anorexia 	distúrbio alimentar caracterizado pela visão distorcida do próprio corpo, peso abaixo do normal, receio de ganhar peso, vontade intensa de ser magro e restrições alimentares
anormalidade 	aquilo que não é normal
anosmia 	ausência de olfato
anosognosia 	falta de consciência sobre a sua própria doença
anoxia 	ausência de oxigênio
anoxia cerebral 	falta de oxigênio no cérebro
anquilose 	rigidez de uma articulação
ansiolítico 	grupo de medicamentos usado para diminuir a ansiedade e a tensão
antiálgica 	que protege contra a dor
antibacteriano 	substância que destrói as bactérias ou evita o seu desenvolvimento
antibiótico 	grupo de medicamentos utilizado para tratar infecções causadas por bactérias
anticoagulante 	medicamentos que retardam o processo de coagulação, impedindo a formação de coágulos no sangue
anticolinérgico 	grupo de medicamentos que ajuda da reduzir os tremores 
anticonvulsivante 	classe de medicamentos utilizada para a prevenção e tratamento das crises convulsivas e epilépticas, neuralgias (dores nos nervos) e também no tratamento de transtornos de humor, como bipolaridade; o mesmo que anticonvulsivo
anticolvulsivo 	classe de medicamentos utilizada para a prevenção e tratamento das crises convulsivas e epilépticas, neuralgias (dores nos nervos) e também no tratamento de transtornos de humor, como bipolaridade; o mesmo que anticonvulsivante
anticorpo 	proteínas que atuam no sistema imunológico como defensores do organismo contra bactérias, vírus e outros corpos estranhos
antidepressivo 	grupos de medicamentos usado para tratar depressão e outros transtornos, como ansiedade, disturbios alimentares etc.
antiemético 	medicamentos que evitam o vômito
anti inflamatório 	agente (substância ou medicamento) que combate as inflamações
antimicrobiano 	substâncias naturais que agem sobre micro-organismos inibindo o seu crescimento ou causando a sua destruição
anti retroviral 	medicamentos usados para o tratamento de infecções por retrovírus, principalmente o HIV
antirretroviral 	medicamentos usados para o tratamento de infecções por retrovírus, principalmente o HIV
antioxidante 	composto ou substância química que inibe a oxidação (danos às células)
antiparkisonianos 	grupo de medicamentos utilizados para tratar os sintomas da Doença de Parkinson e de outras doenças que causam tremores
antipsicótico 	grupo de remédios usado para tratar algumas doenças da mente (psicoses), como esquizofrenia, entre outras; podem ajudar também no controle das emoções, como agressividade, impusividade, instabilidade do humor
antisséptico 	impede a proliferação de micróbios
anúria 	diminuição ou ausência de produção de urina
aorta 	a maior e mais importante artéria do corpo, que recebe sangue oxigenado do coração e é responsável por enviá-lo ao restante do corpo
aparelho digestivo 	formado por vários órgãos como a  boca, faringe, esófago, estômago, intestino delgado, intestino grosso, reto, fígado e pâncreas, é  boca, faringe, esófago, estômago, intestino delgado, intestino grosso, reto, fígado e pâncreas, é responsável por obter dos alimentos ingeridos os nutrientes necessários às diferentes funções do organismo, como crescimento, energia para reprodução, locomoção etc.
aparelho digestório 	formado por vários órgãos como a  boca, faringe, esófago, estômago, intestino delgado, intestino grosso, reto, fígado e pâncreas, é  boca, faringe, esófago, estômago, intestino delgado, intestino grosso, reto, fígado e pâncreas, é responsável por obter dos alimentos ingeridos os nutrientes necessários às diferentes funções do organismo, como crescimento, energia para reprodução, locomoção, etc
aparelho reprodutivo 	órgãos que trabalham em conjunto pela reprodução; na mulher são a vagina, os ovários, as trompas e o útero e no homem são os testículos, o pênis, o escroto e a prostata  
aparelho reprodutor 	órgãos que trabalham em conjunto pela reprodução; na mulher são a vagina, os ovários, as trompas e o útero e no homem são os testículos, o pênis, o escroto e a prostata  
aparelho urinário 	órgãos que trabalham em conjunto para a produção, depósito e eliminação da urina, sendo eles dois rins, dois ureteres, uma bexiga e uma uretra
aparelho vestibular 	estruturas localizadas na orelha interna responsáveis pela manutenção do equilíbrio
apatia 	falta de interesse, emoção ou preocupação
apneia 	suspensão voluntária ou involuntária da respiração
apneia de o sono 	distúrbio do sono em que a respiração para e volta diversas vezes; o meso que apneia noturna
apneia noturna 	distúrbio do sono em que a respiração para e volta diversas vezes; o meso que apneia do sono
apraxia 	incapacidade de executar tarefas com movimentos conhecidos , apesar de capacidade física e desejo, 
área de broca 	região do cébrebro responsável pela expressão da linguagem
área de wernicke 	uma das áreas do córtex cerebral ligada à fala
arreflexia 	ausência de reflexo nos tendões
arritmia 	alteração na geração ou condução do estímulo elétrico do coração, pode provocar mudança do ritmo cardíaco; palpitação
arteterapia 	terapia conduzida por psicólogos que usa a arte como parte do tratamento
artéria 	vasos que geralmente transportam sangue oxigenado do coração para o resto do corpo
artérias coronària 	artérias responsáveis pela irrigação do miocárdio (músculo do coração)
artéria pulmonar 	artéria que leva o sangue do coração para os pulmões; a única artéria do corpo que carrega sangue com pouco oxigênio
articulação 	junta(s)
artralgia 	dor na articulação
artrite reumatóide 	doença inflamatória crônica que afeta muitas articulações, incluindo as das mãos e dos pés
asfixia 	alguma obstrução no caminho do oxigênio; dificuldade ou impossibilidade de respirar
asma 	doença pulmonar inflamatória crônica (de longa duração), caracterizada pelo fechamento reversível dos brônquios; como consequência, o paciente apresenta chiado, falta de ar, tosse seca e aperto no peito
aspiração	limpar secreção do nariz, garganta ou pulmão com aparelho especial; respiração
aspirar 	quando o que se engole vai para o pulmão; respirar
assintomático 	sem sintomas
astereognosia 	dificuldade de reconhecer objetos pelo tato
ataque isquêmico transitório 	deficiência repentina do suprimento de sangue para o cérebro por um curto espaço de tempo; o mesmo que AIT
ataxia 	transtorno neurológico que causa falta de equilíbrio e coordenação motora
ateroma 	placa de gordura
aterosclerose 	acúmulo de placas de gordura, cálcio e outras substâncias nas artérias, causando seu enrijecimento
atetose 	transtorno que causa movimentos involuntários anormais como torções e contorções, principalmente braços e mãos
ativação muscular 	uso dos músculos
atonia 	ausência completa de tônus muscular (*Ver tônus muscular no glossário)
atrofia 	falta de desenvolvimento, diminuição de tamanho ou peso de corpo, órgão, tecido ou membro
atrofia de múltiplos sistemas 	doença progressiva e fatal que causa danos a partes do cérebro que controlam os movimentos e muitos processos internos do corpo, como controle da bexiga, pressão arterial etc
atrofia multissistêmica 	doença progressiva e fatal que causa danos a partes do cérebro que controlam os movimentos e muitos processos internos do corpo, como controle da bexiga, pressão arterial etc
atrofiar 	que apresenta atrofia; que não conseguiu se desenvolver completamente
audição 	um dos cinco sentidos; é a capacidade de ouvir e processar sons
audiologia 	ramo da ciência que estuda a audição, seu equilíbrio e distúrbios relacionados
auditivo 	relativo à audição ou ao ouvido
auricular 	relativo ao ouvido
auscultação 	ato de escutar os sons internos do corpo  para controlar o funcionamento de um órgão ou perceber uma anomalia, normalmente usando um estetoscópio; o mesmo que ausculta
ausculta 	ato de escutar os sons internos do corpo  para controlar o funcionamento de um órgão ou perceber uma anomalia, normalmente usando um estetoscópio; o mesmo que auscultação
autismo 	condição relacionada ao desenvolvimento do cérebro em que a pessoa apresenta desapego quase total da realidade, porque o sujeito refugia-se no seu eu profundo e recusa qualquer contato com as coisas e os seres exteriores a ele mesmo
autópsia 	exame feito em cadáver para determinar a causa e o modo da morte e avaliar doenças 
avaliação clínica 	avaliação que o profissional de saúde faz da condição do paciente pelos sinais e sintomas
avc 	Acidente Vascular Cerebral (derrame cerebral)
avds 	atividades de vida diária
azia 	sensação de queimação causada por refluxo ou retorno do ácido do estômago para o esôfago
azilect 	medicamento que trata os sintomas iniciais da Doença de Parkinson
baço 	pequeno órgão localizado na parte superior esquerda do abdômen que filtra o sangue e remove os glóbulos vermelhos lesionados e produz e armazena células brancas para o sistema imune
bactéria 	organismo unicelular e microscópico associado a doenças e à decomposição de matéria orgânica; as bactérias, contudo, são muito importantes para os seres humanos e desempenham várias funções no nosso organismo, como a proteção do intestino
bactérias intestinal 	conjunto de microrganismos que vivem em nosso intestino grosso; quando estão em harmonia ajudam no metabolismo e nas defesas do corpo, quando se desequilibram podem causar doenças
balismo 	movimentos de arremesso dos membros, amplos, fortes e incessantes, normalmente só de um lado do corpo (hemibalismo)
barreira hematoencefálica 	camada fina de células que separa o sistema nervoso central da corrente sanguínea 
benigno 	que não causa dano/mal
betabloqueadores 	medicamentos que bloqueiam a ação de um hormônio chamado epinefrina nos receptores beta
bexiga 	órgão que armazena urina antes de ser eliminada do corpo
bexiga hiperativa 	problema com o funcionamento da bexiga que provoca a necessidade súbita de urinar
bile 	líquido amarelo esverdeado pegajoso e espesso produzido pelo fígado que auxilia na digestão de gorduras do intestino
biomarcadores 	indicadores (proteínas, genes e outras moléculas) que ajudam a identificar quais tratamentos funcionam melhor para cada tipo de doença e para cada paciente
biópsia 	procedimento cirúrgico no qual se colhe uma amostra de tecidos ou células para estudo em laboratório; exame frequentemente usado para diagnosticar tumores benignos ou malignos 
biotina 	vitamina antioxidante, conhecida como vitamina B-7
bipolaridade 	distúrbio associado a alterações de humor que vão da depressão a episódios de mania (excitação extrema)
blefarite 	inflamação da pálpebra que afeta os cílios ou a produção de lágrimas
blefaroespasmo 	contração ou fechamento involuntário da pálpebra 
borramento visual 	visão embaçada
bradicardia 	diminuição da frequência cardíaca
bradicinesia 	diminuição e lentidão dos movimentos
bradifrenia 	lentidão no processo cognitivo
bromocriptina 	medicamento usado no tratamento da Doença de Parkinson e outras doenças
brônquios 	estruturas tubulares flexíveis que ligam a traqueia aos pulmões e encaminham ar a esses órgãos
bruxismo 	aperto ou ranger de dentes durante o sono
bucolingual 	referente à boca e à língua
bulbo 	parte inferior do tronco cerebral que liga e estabelece a comunicação entre o cérebro e a medula espinhal; o mesmo que bulbo raquidiano e medula oblonga
bulbo raquidiano 	parte inferior do tronco cerebral que liga e estabelece a comunicação entre o cérebro e a medula espinhal; o mesmo que bulbo e medula oblonga
butirofenonas 	medicamentos utilizados para tratar vários distúrbios psiquiátricos 
cabergolina 	medicamento que produz os mesmos efeitos da dopamina no cérebro 
cãimbra de o escritor 	contração involuntária dos músculos da mão
cãimbra de o escrivão 	contração involuntária dos músculos da mão
cãimbra 	contração dolorosa e involuntária de um músculo
calázio 	massa pequena e dura na pálpebra devido ao aumento da glândula sebácea
calcificação 	acúmulo de sais de cálcio nos tecidos do corpo, tornando-os enrijecidos e espessos, entre outros problemas
cálcio 	mineral essencial para o corpo humano que atua no fortalecimento e manutenção dos ossos
cálculo 	pequenas pedras que podem aparecer, por exemplo, nos rins
cálculo biliar 	pedras na vesícula (órgão em forma de bolsa localizado abaixo do fígado que armazena a bile). Ver bile no glossário
cálculo renal 	pedras nos rins
caloria 	medida de energia usada para medir tanto o consumo dietético quanto a atividade física
caloso 	duro como um calo
caminhada nórdica 	tipo de caminhada em que a pessoa segura um bastão em cada mão para se apoiar um pouco
cancerígeno 	que pode causar câncer
capilar 	os menores vasos sanguíneos; o mesmo que vasos capilares e capilares sanguíneos
capilar sanguíneo 	os menores vasos sanguíneos; o mesmo que capilares e vasos sanguíneos
casa de repouso	abrigo ou instituição para pessoas idosas, com atendimento de profissionais de saúde
carbidopa 	medicamento usado no tratamento da Doença de Parkinson e outras doenças para aliviar os efeitos colaterais da Levodopa
carcinoma 	tipo de câncer mais comum, pode surgir em praticamente todos os tecidos do corpo
cardíaco 	relativo ou que pertence ao coração
cardiologia 	especialidade médica que se ocupa do diagnóstico e tratamento das doenças que acometem o coração
cardiologista 	médico que estuda e trata as doenças do coração
cardiomegalia 	aumento do coração
cardiopatia 	termo genérico usado para doenças do coração
cardiopatia congênita 	defeitos cardíacos presentes desde o nascimento
cardiovascular 	relativo ao coração e aos vasos sanguíneos 
cartilagem 	tecido conjuntivo com consistência mais firme mas flexível, não tão rígido quanto o tecido ósseo, que tem a função de sustentar e proteger partes do corpo, facilitar os movimentos e amortecer o impacto e o atrito entre os ossos
casa de repouso	abrigo ou instituição para pessoas idosas, com atendimento de profissionais de saúde
casa geriátrica	abrigo ou instituição para pessoas idosas, com atendimento de profissionais de saúde
catabólico 	relativo ao catabolismo. Ver catabolismo no glossário.
catabolismo 	fase do metabolismo em que moléculas complexas são transformadas em moléculas menores, fornecendo energia ao organismo
catarata 	doença caracterizada pela perda de transparência do cristalino, que é uma lente natural do olho cuja função é propiciar o foco da visão em diferentes distâncias; a catarata pode causar cegueira
catatonia 	geralmente sintoma de transtornos do humor graves ou de doenças neurológicas caracterizada pela incapacidade de se mover, falar ou interair normalmente
catecolamina 	*sem definição
catar 	tubo usado para injeção ou retirada de fluidos; pode ser externo ou totalmente implantado sob a pele
cavidade 	espaços dentro do corpo que contêm os órgãos internos; as cavidades ajudam a proteger, isolar e sustentar os órgãos internos
cavidade abdominal 	espaço dentro do corpo em que estão os diversoss órgãos do aparelho digestivo (estômago, intestinos, fígado, vesícula, pâncreas), baço, rins e parte dos ureteres
cavidade craniano 	espaço que contém o cérebro
cavidade pélvica 	formada pela bexiga, uretra, parte dos ureteres, útero e vagina (na mulher), parte do intestino grosso e o reto
cavidade pleural 	fica ao redor dos pulmões
cavidade torácica 	espaço dentro do tórax que compreende o esôfago, a traqueia, os pulmões e o coração
cefaleia 	dor de cabeça
célula 	menores unidades funcionais de qualquer ser vivo; existem organismos unicelulares (uma única célula), como as bactérias, e pluricelulares (com muits células), como o ser humano
células estaminal não embrionária 	células presentes em muitos tecidos do organismo adulto
células nervoso 	células do sistema nervoso central que transmitem informações para todo o corpo
células piramidal 	um tipo de neurônio em forma de triângulo encontrado em partes do cérebro e responsável pela execução dos movimentos voluntários
células tronco 	células que dão origem a todos os tecidos e órgãos do nosso corpo; elas têm uma capacidade única de se renovar e de se diferenciar em outras células, podendo reparar tecidos que foram danificados por doenças, acidentes ou envelhecimento natural
centro de massa 	local em que o peso do corpo fica concentrado
cerebelo 	região do cérebro envolvida no equilíbrio e coordenação dos movimentos
cérebro 	principal órgão e centro do sistema nervoso que controla todo o corpo, todas as ações voluntária e involuntários do nosso corpo
cerúleo 	estrutura do cérebro responsável pela resposta ao estresse e fundamental no funcionamento do sono
cicatriz 	marca deixada por uma lesão curada
cifose 	desvio ou curvatura anormal da coluna
cinestesia 	capacidade de perceber a posição e o movimento de uma parte do corpo (propriocepção consciente).
cintilografia 	tipo de exame de diagnóstico por imagem
cintilografia óssea 	exame que detecta tumores e pontos de inflamação nos ossos causados por infecções, artrite, fratura, alterações na circulação sanguínea do osso, avalia próteses ósseas etc.
cirurgia bilateral 	cirurgia nos dois lados do corpo, por exemplo, nas duas mamas, nos dois lados do cérebro
cirurgia unilateral 	cirurgia só de um lado do corpo, por exemplo, mama esquerda, lado direito do cérebro
cisto 	espécie de bolsa de tecido, que pode ser cheia de ar, líquido, pus ou outro fluido, que podem se formar dentro de qualquer tecido do corpo
citologia 	estudo da estrutura e funções das células
citologista 	especialista que estuda as células
clínica especializar 	local onde vários médicos e outros profissionais de saúde trabalham
clonazepam 	medicamento que promove a inibição leve das funções do sistema nervoso central, sendo usado para tratar crises epilépticas e transtornos de ansiedade e de humor
clorose	tipo de anemia
coagulação 	processo que envolve uma série de fatores e garante que a pessoa não perca muito sangue; o sangue deixa de ser líquido e se transforma em uma massa quase sólida, o coágulo
coágulo 	estruturas que se formam naturalmente no corpo como uma forma de bloquear feridas e impedir a perda de sangue; contudo, os coágulos nem sempre são positivos e quando se formam dentro de uma artéria ou veia podem interromper o fluxo fundamental do sangue e causar sofrimento a órgãos e tecidos 
coágulo sanguíneo 	estruturas que se formam naturalmente no corpo como uma forma de bloquear feridas e impedir a perda de sangue; contudo, os coágulos nem sempre são positivos e quando se formam dentro de uma artéria ou veia podem interromper o fluxo fundamental do sangue e causar sofrimento a órgãos e tecidos 
cóclea 	estrutura da orelha interna responsável pela audição
coeficiente de letalidade 	proporção entre o número de mortes por uma doença e o número total de doentes que sofrem dessa doença, ao longo de um determinado período de tempo
cognição 	capacidade do ser humano de processar informações e adquirir conhecimento através de alguns processos, como percepção, atenção, associação, memória, raciocínio, juízo, imaginação, pensamento e linguagem
cognitivo 	relativo à cognição (*Ver cognição no glossário)
colesterol 	tipo de gordura encontrada em nosso organismo importante para o seu funcionamento normal; quando o nível de colesterol está muito alto ele pode ser prejudicial à saúde
colículos inferior 	região do sistema nervoso central que recebe informações visuais
colículos superior 	região do sistema nervoso central que recebe informações auditivas
cólon 	parte central do intestino grosso que tem como função reabsorver a água do alimento digerido para sua posterior eliminação pelas fezes
colostomia 	cirurgia que produz uma abertura no cólon (*Ver cólon no glossário), formando um novo trajeto e local para a saída das fezes
coluna vertebral 	eixo central do corpo que sustenta nossa posição bípede; eixo de comunicação entre o sistema nervoso central e periférico,via medula espinhal; espinha dorsal
coma 	estado de inconsciência no qual uma pessoa não pode ser despertada
coma induzido 	coma (*Ver coma no glossário) temporário provocado por uma dose controlada de medicamentos; é usado para proteger o cérebro durante grandes neurocirurgias
coma irreversível 	coma (*Ver coma no glossário) no qual não há reação a estímulos, nenhum movimento espontâneo e não há registro de atividade no cérebro
comorbidade 	existência de duas ou mais doenças em um mesmo organismo, sendo que uma doença potencializa a outra
comprimento de o passar 	distância de dois passos
comprometimento cognitivo 	comprometimento das funções como atenção, memória, linguagem e raciocínio
compulsão 	impulso irresistível de agir, mesmo que a razão diga para não fazer. Exemplos: comer demais, beber demais, jogatina.
concussão 	disfunção temporária depois de um ferimento; é como se fosse um machucado no cérebro que melhora normalmente depois de 24 horas
condição basal 	quantidade mínima de energia que corpo da pessoa em repouso precisa para se manter vivo
confusão mental 	incapacidade de pensar com clareza
congelamento de o marcha 	parada súbita da execução do movimento da caminhada
congênito 	que vem desde o nascimento
congestão nasal 	nariz entupido
constipação 	intestino preso, dificuldade de evacuar
constritivo 	que aperta, que (se) contrai; o mesmo que constritor
constritor 	que aperta, que (se) contrai; o mesmo que constritivo
contraindicação 	a ser evitado, não recomendado
contrair 	a ser evitado, não recomendado
contratura 	ocorre quando o músculo se contrai de maneira involuntária e incorreta e não volta ao seu estado normal de relaxamento
controlo motor 	controle dos movimentos
convulsão 	movimentacão sem controle causada por uma atividade elétrica anormal do cérebro; há muitas causas diferentes para a convulsão; em uma crise convulsiva, a pessoa fica rígida, pode cair no chão e começa a se debater
coordenação motor 	capacidade do nosso corpo de realizar e controlar os movimentos
coprolalia 	tendência incontrolável de proferir palavras obscenas e fazer comentários não aceitos socialmente
corda vocal 	pregas vocais; dobras de tecido musculoso dentro da laringe (*Ver laringe no glossário) que vibram quando atravessadas pelo ar, produzindo o som da voz
coreia 	movimentos involuntários e rápidos que começam em uma parte do corpo e passam para outra, assemelhando-se a uma dança
coriza 	secreção das fossas nasais; nariz escorrendo
córnea 	tecido transparente, fino e resistente localizado na parte anterior do olho; ela permite a entrada da luz e executa dois terços das tarefas de foco
corpo caloso 	estrutura do cérebro que conecta os hemisférios direito e esquerdo; é importante na organização das informações que chegam aos hemisférios cerebrais
corpo estriar 	parte central do cérebro com neurônios importantes; é uma das partes mais afetadas por doenças neurológicas como Doença de Parkinson e Alzheimer
corpo de lewy 	agrupamento anormal de proteínas dentro de células nervosas
córtex 	parte externa do cérebro, que todos chamam de "massa cinzenta", por causa de sua coloração acinzentada; é responsável pela nossa capacidade de pensamento, movimento voluntário, linguagem, julgamento e percepção
